yuma,yamato,amugiri,hyuga,yuta
"楽しみにしていたファンの皆様、お待たせしました！お待たせしすぎたかもしれません。 自分たちで創意工夫して作ったオリジナルデザインです！ぜひ使ってみてね📣 Simejiユーザーの皆様にもぜひ楽しんでいただきたいです😊 Simejiアプリをインストールしてバナーからダウンロードできますよ👊🏻 https://t.co/S4ymaUcufR Jul 09, 2021 ","今コムドットが当たるコンテンツをやってるんじゃなくて、コムドットがやるコンテンツが当たるように仕掛けたまで Dec 21, 2021 ","「控えめに言って最高」ってリョーマが言ってたから「控えめに言わなかったら何て言う？」って聞いたら困ってた🙂 Jan 13, 2022 ","@kajisac_onashas ありがとうございます！！ また一緒に仕事したいです😆 Jun 12, 2021 ","@__164cm_y お疲れ様〜！ Oct 07, 2021 "
"https://t.co/kW0jp9SjUc Jun 25, 2021 ","RT @vivi_magazine: 2021年下半期 #国宝級イケメンランキング 急きょ新設した「好きなYouTuber部門」❣️ 1位に輝いたのは…… #コムドット ！ 彼らのスペシャルな撮り下ろし撮影&インタビュー、2位以降の順位は明日12月22日発売のViVi2月号で… Dec 21, 2021 ","新成人の皆様成人おめでとうございます！🎉🙇‍♂️ 自分3年前なのビックリ！ Jan 10, 2022 ","@FUJI_EVISJAP @comyamato0515 ふじくんありがとうございます！！ 睡眠大事にします笑 Jun 12, 2021 ","@5O_x_x 俺は昼ごはんおにぎりでした🍙 Oct 07, 2021 "
"ちなみに明日の動画で僕ブチギレちゃったので叩かれないか心配ですチェース！！ Jun 20, 2021 ","遂にコムドット国宝級イケメンの称号をいただきました😭😭😭 投票してくれたみんな本当にありがとうございます🤝💐 https://t.co/rkHKXBjLeq Dec 21, 2021 ","@jinkura__sere12 ハマれもっと〜♪ (嘘です嬉しいですありがとうございます🙇‍♂️) Jan 08, 2022 ","@demichenakamach @comyamato0515 @comyuta0305 @comamugiri0123 @Comyoutuber2 @comyuma1214 JP君ありがとうございます！！ まだまだ伸びる予定です😏 一緒にYouTube盛り上げましょう👍 Jun 12, 2021 ","@tj_six0721 有意義な午後にしてね✌️ Oct 07, 2021 "
"今日の動画で僕やあっちゃんのことを可愛そうだとコメントが殺到してしまいましたが、あくまでエンタメとして笑っていただけると演者としてありがたいです。 笑ってくれなきゃ完全にオワコン人間になっちまうんだぁぁぁぁ！！ Jun 20, 2021 ","RT @hikakin: #ヒカキンサンタ のプレゼント🎅🎄🎁 わたくしヒカキンをフォロー&この投稿をリツイートで【総額1,000万円分】iPhone 13が103名様に当たります🎉🤣🎊 応募締切は12/25(土)23:59まで！ 詳しくはYouTube動画とこのツイートの… Dec 18, 2021 ","@disney__Sena31 すごい！！🤩 ありがとうございます🙇‍♂️ Jan 08, 2022 ","@_Runa_Ru_na ありがとう！！ YouTube一緒に頑張ろう！！ Jun 12, 2021 ","@n_yt4173 指気をつけてね🤌🏻 Oct 07, 2021 "
"今日の夜皆さんチェックよろしくお願いします！ めちゃくちゃ楽しい撮影でした😊 https://t.co/6dQyeEeba7 Jun 20, 2021 ","チャンネル登録300万人してとんでもない達成感を感じた でも満足感はない まだまだコムドットは上にいける 自分でも恐ろしいほどハングリーで野心に天井がない 初心を忘れずに貪欲にいこう Dec 17, 2021 ","@Huufinfn ☺️ Jan 08, 2022 ","@yua_tsutsui ありがとうございます！！ Jun 12, 2021 ","@minamin78 今日の気温気持ちいいよね〜 お疲れさんです！ Oct 07, 2021 "
"ひゅうがのTikTok飯しか出てこない。 完全にTikTok側にデブ視聴者だと思われてる。 Jun 19, 2021 ","@m591ts @YouTube ps 怒り方いつでも教えますよ😌 Dec 15, 2021 ","@com_amu__1 あむぎりジェイソン！！エグい😂 Jan 08, 2022 ","@JINJIN1027 ありがとうございます！！ 互いにYouTubeぶちかましましょう😏 Jun 12, 2021 ","@mah_panda すげーーー！！！！ 頑張ってね🕺🕺 Oct 07, 2021 "
"面白そうです🤩ワクワク https://t.co/Dx0yNY7yHE Jun 17, 2021 ","RT @ytranking: コムドット、Z世代が選ぶ「下半期トレンドランキング」で上位席巻　「流行ったYouTuber」で過半数の得票 https://t.co/mshW6S52nb Dec 15, 2021 ","@himari__sky_727 うへへへへ😏 Jan 08, 2022 ","@_pigmonster @comyuta0305 @comamugiri0123 @comyuma1214 @comyamato0515 @Comyoutuber2 ぴぐもんありがとう！！！ Jun 12, 2021 ","@e___ki17 こっちは曇っております。🤣 Oct 07, 2021 "
"ゆうたが限界編集の合間にドラゴンボールのフィギュア開封してたらごうたが 『また無駄遣いしたんですかゆうたさん！』とおっしゃった。 デリカシーのカケラもない後輩に乾杯。 Jun 15, 2021 ","https://t.co/zScSrKMRKN Dec 15, 2021 ","@attyan_O123 紛れてみました ありがとうございます😊🙇‍♂️ Jan 08, 2022 ","@iamnovelcore ありがとうございます！ Jun 12, 2021 ","@6u6gnk1217 優雅だ👏🥱 Oct 07, 2021 "
"なんか木内きた。 Jun 15, 2021 ","2021年は確実にコムドットが獲った もちろん賛否はあるだろうけど、YouTubeに心酔して命を削って得た、時代を掴んでる感触は誰にも譲れない 肝心なのは来年どうするか もう既に2022年は始まっている https://t.co/fonz7D352d Dec 15, 2021 ","@suzuki51559 いいよん！ Jan 08, 2022 ","@higuys_iamkyoka きょうきょうありがとう！！ これからもよろしくね👍 Jun 12, 2021 ","@boc_to_7717 お互い頑張りましょう💪 Oct 07, 2021 "
"俺ゆうたのツイートと誤字った。 Jun 15, 2021 ","RT @Comyoutuber2: HIKAKINさんに直接言いたいことがあります。 https://t.co/b7WVqpQrGu 今日の動画です。 HIKAKINさんとお話しさせていただきました。 見てください🙏 https://t.co/sYQcXispOm Dec 15, 2021 ","@com_ugll いた笑笑笑笑 Jan 08, 2022 ","@gishi_rr ぎしありがとう！ Jun 12, 2021 ","@yorutakun カレーめっちゃいいな🍛 Oct 07, 2021 "
"社長次の撮影に向けてワックスつけてる。 Jun 15, 2021 ","RT @mini_twjp: 【情報解禁】 ㊗️YouTubeチャンネル登録者300万人突破記念㊗️ #コムドット がminiにやってくる！！！！ 詳細は画像をチェックしてね🥰 ✔️12月14日0時～ネット書店にて予約開始します✔️ 売り切れ必至！ぜひ予約して発売日をお待ちく… Dec 14, 2021 ","今日も笑顔で頑張っていきましょう😁 https://t.co/d9Xf0rVmvB Jan 08, 2022 ","@KEESUKE_ESPOIR @comyamato0515 @comyuta0305 @comamugiri0123 @comyuma1214 ありがとうございます！ ご飯連れてってください😏 Jun 12, 2021 ","@Nape_STSNTJHIB 俺イカゲーム見始めました🥱 Oct 07, 2021 "
"あむぎりすごい肩掻いてる。 Jun 15, 2021 ","【若者へ】 夢を掲げろ 雑音はかき消して一歩踏み出せ そしてダサいぐらいに泥臭く向き合え 心配は無用 コムドットが先頭で背中を見せる https://t.co/iM8S7WBrff Dec 12, 2021 ","@com_183_ fight!! Jan 06, 2022 ","RT @comyamato0515: 【維新】 全YouTuberにもう道を開けて貰う必要はない 俺らが通る道を作る必要もない 俺らが創るのは新しい時代だ https://t.co/cZOqTKh5Dx Jun 10, 2021 ","@_reee__e 朝からおつかれさんだ🙏💪 Oct 07, 2021 "
"ゆうたの寝言が謎すぎてなんで言ってたか忘れた。 Jun 15, 2021 ","RT @modelpress: コムドット、登録者数300万人突破でやまとが号泣… HIKAKINもサプライズで祝福 @Comyoutuber2 ▼ほか写真・記事詳細はこちら https://t.co/8XZmoyVnqr Dec 11, 2021 ","@b2NgdwjjaycK3Pk 高校生みたいなデートもしたいな♪ Jan 06, 2022 ","RT @comyuta0305: コムドットチャンネル登録者 　　　🔥200万人突破🔥 みなさん本当にありがとうございます 年内目標達成することができたのは 間違いなくみなさんのおかげです😭 これからも楽しくYouTubeだ🕺✌️ #コムドット有言実行 https://t.c… Jun 10, 2021 ","@flowerBell_8341 1番上手いタイプのやつだ Oct 07, 2021 "
"ひゅうがアリにブチギレてて アリ風情がぁぁぁ！ って叫んでた。 Jun 15, 2021 ","チャンネル登録300万人突破しました 今日まで応援してくれた家族、友達、ファンのみんな本当に本当にありがとうございました みんなと一緒に夢が見れてコムドットは本当に幸せです そしてコムドット本当によく頑張った お前らが日本一カッコいいよ #コムドット300万人達成 #コムドット有言実行 https://t.co/vSiYWiorpr Dec 11, 2021 ","@miyuuabe1 叶えたる！！ Jan 06, 2022 ","@miztamari_nikki もう最高なお気遣いありがとうございます！ Jun 10, 2021 ","@comiiym_ マジで頑張れそれは！！！！🔥 Oct 07, 2021 "
"@miyu0300_ ありがとう！ 頑張りやしょうじょ！ Jun 10, 2021 ","RT @YouTubeFanFest: .@Comyoutuber2 are ready to slam-dunk their way into your hearts this #YTFF ❤️ Catch up on the fun and games on #YTFFJP… Dec 08, 2021 ","@hgkn_sk 厳つい雪だるまだ😂 Jan 06, 2022 ","たばこ自撮り4枚 #愛煙家 #たばこって響きも良い #200万人まであと少し #応援よろしくお願いします https://t.co/sQyTQSdq1A Jun 07, 2021 ","今日は外が涼しくて気持ちいいので 外を歩くのが楽しいです これから撮影です。 皆さんは何してますかい？？ Oct 07, 2021 "
"@_Runa_Ru_na ありがとう！ 頑張りやしょう共に！ Jun 10, 2021 ","RT @YouTubeJapan: #YTFF 開催まで… ◤　　　　　 ◥ ⏳ あと 4 日 ⏳ ◣　　　　　 ◢ @Comyoutuber2 @comyamato0515 @comamugiri0123 @comyuta0305 @comhyuga1117 @co… Dec 07, 2021 ","@com_yt_312 daisuki!!! Jan 06, 2022 ","楽しすぎました😏 ありがとうございます！！ https://t.co/kCPyLfC7kb Jun 03, 2021 ","NYLONに出ました🔥🕺 https://t.co/GJw2WGmWTg Oct 06, 2021 "
"@homies_ruka るかありがとう！ がんばっていこうじょ！ Jun 10, 2021 ","この1年自分たちが立てた目標に対して寸分の疑いもせずにここまで努力してきた 「無理」だと言われてもそれを全部吹き飛ばすほどの熱量をYouTubeに注いできた 信じ切ること、言い切ることのパワーをここにきて感じる 残り10万人必ず走り切って見せる Dec 07, 2021 ","☃️YUKIDA⛄️ Jan 06, 2022 ","@Agovukuro もっちゃんが愛くるしすぎて俺の実家の近く越してきて欲しい。 あとパンチパーマにもして欲しい。 Jun 01, 2021 ","コムドット3周年🔥✨ 数えきれないほどの人達に支えてもらいながら3年間活動することができました😭 もっともっと5人で頑張ります！！！ #コムドット3歳 https://t.co/0AXXBgpCXk Sep 30, 2021 "
"@chibashin0119 ちばしんありがとう！頑張っていこうジェ！ Jun 10, 2021 ","遂に並んだか Dec 07, 2021 ","あけましておめでとうございます！！！！！！！！！！！！！！！！！！！！！！今年もよろしくお願いしまあぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁす！！！！！！🎍🙇‍♂️ Dec 31, 2021 ","RT @miztamari_nikki: 急上昇1位は嬉しいです！ ただ、いつモザイク外れるのでしょうか。。 https://t.co/mq50uwlrTJ May 30, 2021 ","RT @Comyoutuber2: NYLONにて初表紙を飾らせてもらっています🎉🎉🎉 コムドットを始めた頃から5人で雑誌の表紙を飾ることを１つの目標にしていたので感無量です😭😭 多くの人に手に取っていただけたら、とても嬉しいです🙏 これからもファンの皆んなにいいニュースを届け… Sep 28, 2021 "
"@macagra_ryoma リョーマありがとう！ 今度編集しに行くね！ Jun 10, 2021 ","RT @comamugiri0123: はじめしゃちょーさんからYogiboを頂きサインまで書いて貰えました😭🙇‍♂️ 宝物です！ありがとうございました！ https://t.co/Awy0LduE33 Dec 06, 2021 ","@TEOAzusAJIN じんたん大好き！ Dec 31, 2021 ","@kantamizutamari お二人の優しさに緊張を解いて頂きました😏 またお願いします！！ 急上昇１位おめでとうございます！！ May 30, 2021 ","RT @NYLONJAPAN: 【📢緊急告知📢】大反響の #コムドット 表紙を受けて、別冊NYLON SUPERを発売することが決定！　限定ソロ表紙を含む合計6パターン表紙を発売！　さらに限定両面ポスター付き！　10月中旬に詳細発表＆予約開始するのでお楽しみに❤️　#COM_N… Sep 28, 2021 "
"@gishi_rr ぎしありがとう！ 頑張ろう一緒に！ Jun 10, 2021 ","@DJShacho_Foxx フカフカの王座椅子座って待ってます😏 Dec 05, 2021 ","@com_yh05 すぃすぃん！ Dec 31, 2021 ","@miztamari_nikki 自分もめちゃめちゃ嬉しくてテンション上がってます😆 本当にありがとうございました！！ May 30, 2021 ","Twitter限定沖縄の海 綺麗なのに加工してて草 https://t.co/MI9YUzcE8K Sep 13, 2021 "
"@higuys_iamkyoka きょうきょうありがとう！ 天下一目指すじょ〜！ Jun 10, 2021 ","まぁ当然の結果ですね。 訳:ファンの皆さんがいいねやコメントをしてくれた結果だと思ってます。YouTubeしながらTikTok毎日投稿をしてきて、名だたるインフルエンサーの中1位を獲れたのは本当に嬉しいです。いつもTikTokも見てくれてるみんな本当にありがとう😭😭😭 https://t.co/EdAFvdfnoB Dec 05, 2021 ","@728NachaD そば！！ Dec 31, 2021 ","まだまだ上にいけそう。 #お前には俺が必要 #俺にはお前が必要 #この関係がベスト #いくぞ200万人 https://t.co/o15fa3yAn3 May 27, 2021 ","Twitterって何載せればいいんだ？ こーゆうのはインスタか？ https://t.co/XZQoPiOjnx Sep 12, 2021 "
"@FUJI_EVISJAP @comyamato0515 フジくんありがとうございます！僕も大好きです！ Jun 10, 2021 ","RT @modelpress: 【モーメント⚡】 ＼TikTokクリエイター影響力トレンドランキングTOP10発表／ 🥇1位 #コムドット やまと 🥈2位 #なえなの 🥉3位 #中町綾 @comyamato0515 @naenano78 @aya110n_n @hinatt… Dec 05, 2021 ","@xxMxAxKxAxx 見てるよ！！！ Dec 31, 2021 ","どしどし質問お願いします！！ https://t.co/TDlf9Wid73 May 22, 2021 ","今回僕達コムドットが 関西コレクションシークレットゲスト として参加させていただきました！ 今まで見たことのない景色を目の当たりして興奮しました🔥🔥 友達や親に思いっきり自慢できそうです😂🙏 また呼んでいただけるように頑張ります✌️ #コムドットかっけえ https://t.co/TOzrRHpfoA Sep 05, 2021 "
